cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
PP10,24,1990-01-22 05:39:00,67-55,11,0,36.6,-122.46,0.781048619660083,-0.164578696420762
PP10,33,1990-01-23 00:30:00,67-50,11,0,36.76,-122.03,0.485296716578755,0.492361200675023
PP10,30,1990-01-23 01:52:00,C1,11,0,36.78,-121.91,0.374843000758055,0.870668065881568
PP10,27,1990-01-23 14:02:00,27,11,0,36.71,-122.21,0.816126027911591,-0.129562137692679
03090,1,1990-01-30 16:16:00,M2,1,0,36.74,-121.92,0.879094240600699,0.605604207752839
03090,2,1990-01-30 16:55:00,M3,2,0,36.78,-121.92,1.1184093603933,0.56754200659129
03090,4,1990-01-30 18:31:00,M5,1,0,36.88,-121.92,-0.720238868631941,-0.0163448522964274
03890,1,1990-02-07 15:44:00,C1,11,0,36.79,-121.84,0.26690700749132,-2.29339742913505
03890,2,1990-02-07 17:00:00,H1,6,0,36.62,-121.89,-0.0476011713016824,-0.409072607315786
03890,3,1990-02-07 17:27:00,MOORING1,2,0,36.65,-121.93,0.661313833501471,-0.694454034121194
03890,6,1990-02-07 20:40:00,H3,11,0,36.77,-122.01,-0.6342275408115,-0.923058582194894
05290,1,1990-02-21 22:23:00,C7,11,0,36.64,-122.14,0.337307601892181,1.15339525373267
05390,1,1990-02-22 16:17:00,C1,11,0,36.79,-121.84,3.3482413723967,2.40240454527587
05390,3,1990-02-22 18:49:00,MOORING1,1,0,36.65,-121.93,0.337307601892181,1.15339525373267
05390,6,1990-02-22 20:39:00,H3,11,0,36.78,-122.01,2.58288735148149,2.70313547693992
06790,1,1990-03-08 16:23:00,C1,11,0,36.79,-121.84,2.01745097175591,0.804345473191104
06790,2,1990-03-08 17:42:00,H1,6,0,36.62,-121.89,2.67130253411453,2.88006622674462
08090,1,1990-03-21 15:54:00,C1,10,0,36.79,-121.84,1.1759127783579,2.50635204464941
08090,2,1990-03-21 17:16:00,H1,6,0,36.62,-121.89,-0.388945806206954,1.62124019073982
PP11,23,1990-03-25 05:45:00,67-60,11,0,36.45,-122.78,0.541683969584396,-1.60838846329853
PP11,24,1990-03-25 10:33:00,67-55,11,0,36.6,-122.48,0.582310587410142,1.80852792290808
PP11,27,1990-03-25 17:08:00,27,11,0,36.71,-122.23,0.295865992634661,1.27139207835758
PP11,33,1990-03-25 20:05:00,67-50,11,0,36.76,-122.03,-2.33565595530493,2.68376591013722
PP11,29,1990-03-25 21:15:00,67-50,11,0,36.7,-122.03,-2.25895105597398,-0.0842689590394679
09490,1,1990-04-04 14:44:00,C1,11,0,36.79,-121.84,NA,4.23389852644956
09490,2,1990-04-04 16:03:00,H1,6,0,36.62,-121.89,-2.13202408784805,NA
10890,1,1990-04-18 14:51:00,C1,11,0,36.79,-121.84,-0.792770850099258,0.197833948424463
10890,2,1990-04-18 16:12:00,H1,6,0,36.62,-121.89,0.998156760901963,-1.32076133466671
10890,5,1990-04-18 18:22:00,C7,11,0,36.63,-122.13,0.64307682229162,-0.45812407143929
10890,6,1990-04-18 20:05:00,H3,11,0,36.77,-122.01,-0.691079320057947,-0.112142349281941
12290,1,1990-05-02 14:44:00,C1,11,0,36.79,-121.84,NA,0.593737258284363
12290,2,1990-05-02 16:07:00,H1,6,0,36.62,-121.89,-1.47071128842479,-0.580432969717999
12290,5,1990-05-02 18:08:00,C7,11,0,36.63,-122.14,-1.34425071312221,-0.258891202535254
12290,6,1990-05-02 19:40:00,H3,11,0,36.77,-122.01,-2.07048972898202,-1.5561293999632
13690,1,1990-05-16 13:52:00,C1,12,0,36.79,-121.84,0.436205089505522,0.258095937336697
13690,2,1990-05-16 15:03:00,H1,6,0,36.65,-121.88,1.79497230254734,3.03585824990979
13690,4,1990-05-16 16:56:00,C7,11,0,36.63,-122.13,0.858218300447369,2.08887218306238
13690,6,1990-05-16 19:40:00,H3,11,0,36.77,-122.01,-1.25658978141256,-0.227455333701885
PP12,1,1990-05-17 00:00:00,1,11,0,36.33,-122.03,NA,0.996626811894431
PP12,23,1990-05-22 19:49:00,67-60,11,0,36.45,-122.78,0.83729297804613,2.78765736778769
PP12,24,1990-05-22 23:28:00,67-55,11,0,36.6,-122.48,1.57870320308471,2.83737004592968
PP12,27,1990-05-23 08:00:00,27,11,0,36.71,-122.23,-1.47063730155525,0.0210263879994298
PP12,33,1990-05-23 10:33:00,33,11,0,36.76,-122.03,2.67259164482026,1.43592155583388
