cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,biomass
SU92-4,1,1992-11-17 17:52:00,Mooring1,7,0,36.76,-122.01,3.80304348238912
35192,1,1992-12-16 17:13:00,H3,12,0,36.78,-122.01,2.97369717414532
35192,2,1992-12-16 19:39:00,C7,12,0,36.63,-122.14,2.58131198726394
35192,3,1992-12-16 20:45:00,Q5,2,0,36.63,-122.01,2.85163895680554
35192,5,1992-12-16 22:43:00,M3,2,0,36.78,-121.93,2.87248756256539
35192,6,1992-12-16 23:25:00,C1,12,0,36.79,-121.84,3.76566117361735
01393,1,1993-01-13 18:17:00,C1,12,0,36.79,-121.84,2.58644625003685
01393,2,1993-01-13 19:59:00,H3,12,0,36.78,-122.02,2.83602227765877
02593,1,1993-01-25 16:07:00,C1,12,0,36.79,-121.85,3.01782810278489
02593,2,1993-01-25 17:19:00,H3,12,0,36.77,-122.01,3.73353941022838
04193,1,1993-02-10 16:20:00,C1,12,0,36.79,-121.84,3.92038205105631
04193,2,1993-02-10 19:29:00,Mooring1,12,0,36.74,-122.02,3.40172660826372
04193,3,1993-02-10 20:08:00,H3,12,0,36.77,-122.01,3.51882828722883
04193,4,1993-02-10 22:04:00,MOORING2,12,0,36.71,-122.38,3.51803069239849
05493,1,1993-02-23 15:53:00,C1,12,0,36.79,-121.84,4.17686212798333
05493,2,1993-02-23 17:09:00,H3,12,0,36.77,-122.01,3.01902605457698
05493,3,1993-02-23 18:02:00,Mooring1,12,0,36.75,-122,3.37240990320726
05493,4,1993-02-23 20:32:00,MOORING2,12,0,36.7,-122.37,3.64534051683675
06993,1,1993-03-10 16:35:00,C1,12,0,36.79,-121.85,4.38238287121411
06993,2,1993-03-10 18:19:00,Mooring1,12,0,36.74,-122.01,3.77425910264181
06993,3,1993-03-10 19:20:00,H3,12,0,36.77,-122.01,4.43886161427017
06993,4,1993-03-10 21:46:00,MOORING2,12,0,36.68,-122.39,4.19340332850091
09793,1,1993-04-07 15:11:00,C1,11,0,36.79,-121.85,4.98472988102727
09793,2,1993-04-07 18:32:00,Mooring1,12,0,36.73,-122.01,5.68636610976986
09793,3,1993-04-07 19:18:00,H3,12,0,36.77,-122.01,5.33613817721799
11193,1,1993-04-21 15:20:00,C1,9,0,36.8,-121.85,5.8088389050848
11193,2,1993-04-21 19:34:00,Mooring1,12,0,36.74,-122.01,5.62669752904423
11193,3,1993-04-21 20:26:00,H3,12,0,36.77,-122.01,6.01104197257755
14693,1,1993-05-26 15:07:00,C1,12,0,36.79,-121.84,4.17066907365568
14693,2,1993-05-26 16:46:00,Mooring1,12,0,36.76,-122.01,3.54539711463606
14693,3,1993-05-26 17:35:00,H3,12,0,36.78,-122.01,3.63945748664883
14693,4,1993-05-26 19:33:00,Midpoint,12,0,36.72,-122.2,3.58564775425233
16093,1,1993-06-09 17:08:00,Mooring1,12,0,36.74,-122.01,4.49469477821048
16093,2,1993-06-09 17:56:00,H3,12,0,36.77,-122.01,4.65170170610226
16093,3,1993-06-09 19:25:00,Midpoint,12,0,36.72,-122.19,4.10187659180248
16093,4,1993-06-09 21:37:00,C1,12,0,36.79,-121.84,4.39883470923981
18893,1,1993-07-07 14:52:00,C1,12,0,36.79,-121.84,5.71844222680907
18893,2,1993-07-07 17:30:00,Mooring1,12,0,36.76,-122.02,6.67705076423904
18893,3,1993-07-07 18:41:00,H3,12,0,36.78,-122.01,6.36388543937133
18893,4,1993-07-07 20:11:00,Midpoint,12,0,36.73,-122.19,5.85134396480421
20293,1,1993-07-21 14:53:00,C1,12,0,36.79,-121.84,3.54820178759137
20293,3,1993-07-21 17:16:00,H3,12,0,36.77,-122.01,4.74477830783783
20293,4,1993-07-21 19:41:00,MOORING2,12,0,36.68,-122.4,3.41292023308141
21693,1,1993-08-04 15:16:00,C1,11,0,36.79,-121.84,3.67638590878064
21693,2,1993-08-04 16:24:00,H3,12,0,36.77,-122.01,4.65433023412297
21693,3,1993-08-04 17:16:00,Mooring1,12,0,36.75,-122.01,3.11892217683284
21693,4,1993-08-04 19:42:00,Midpoint,12,0,36.72,-122.2,4.03449200478724
24493,1,1993-09-01 15:08:00,C1,11,0,36.79,-121.85,3.48191337032348
24493,2,1993-09-01 16:19:00,Mooring1,11,0,36.75,-122.01,2.33268801901805
24493,3,1993-09-01 17:49:00,H3,11,0,36.77,-122.01,2.71112546761914
24493,4,1993-09-01 19:58:00,MOORING2,11,0,36.7,-122.39,3.40641733397466
27993,1,1993-10-06 14:58:00,C1,12,0,36.79,-121.84,5.28654264580723
27993,2,1993-10-06 16:20:00,Mooring1,11,0,36.75,-122.01,4.88802121773194
27993,3,1993-10-06 17:34:00,H3,11,0,36.77,-122.01,5.08217442245136
30093,1,1993-10-27 15:30:00,C1,11,0,36.79,-121.84,4.26231231654148
30093,2,1993-10-27 16:40:00,H3,12,0,36.77,-122.01,4.13914660981278
30093,3,1993-10-27 18:46:00,MOORING2,11,0,36.7,-122.38,3.5005099653937
SU93-4,1,1993-11-10 18:57:00,H3,12,0,36.76,-122.01,3.73862861068408
32793,1,1993-11-23 15:56:00,C1,11,0,36.79,-121.84,3.58840301966783
32793,2,1993-11-23 17:13:00,Mooring1,12,0,36.75,-122.01,4.02771879764002
32793,3,1993-11-23 21:18:00,MOORING2,11,0,36.68,-122.39,3.92164779815101
34993,1,1993-12-15 15:58:00,C1,11,0,36.79,-121.84,3.00213185249665
34993,2,1993-12-15 17:39:00,Mooring1,12,0,36.75,-122,2.87777851707564
34993,3,1993-12-15 21:01:00,MOORING2,11,0,36.7,-122.37,2.86123000978657
02694,1,1994-01-26 20:03:00,MOORING2,11,0,36.68,-122.4,3.12598751796071
02694,2,1994-01-26 22:16:00,Mooring1,12,0,36.75,-122.02,3.61207621452649
05494,1,1994-02-23 16:05:00,C1,11,0,36.79,-121.85,2.78916162979763
05494,2,1994-02-23 19:03:00,MOORING2,12,0,36.68,-122.38,2.78554566730905
05494,3,1994-02-23 21:20:00,Mooring1,11,0,36.74,-122.02,2.7564576253694
06894,1,1994-03-09 15:46:00,C1,11,0,36.79,-121.84,3.95281166179269
06894,2,1994-03-09 19:53:00,MOORING2,1,0,36.69,-122.38,3.32223714346264
06894,3,1994-03-09 21:52:00,Mooring1,12,0,36.75,-122.02,3.29426344363913
08294,1,1994-03-23 16:06:00,C1,11,0,36.79,-121.84,3.93786407048957
08294,2,1994-03-23 17:24:00,Mooring1,12,0,36.74,-122.02,3.01600082170396
10394,1,1994-04-13 15:00:00,C1,11,0,36.79,-121.84,3.33794077629713
10394,2,1994-04-13 18:44:00,MOORING2,11,0,36.68,-122.38,3.82740524145985
10394,3,1994-04-13 21:36:00,Mooring1,12,0,36.74,-122.01,4.52772576484267
11794,1,1994-04-27 15:04:00,C1,11,0,36.79,-121.84,5.55550916144481
11794,2,1994-04-27 17:07:00,Mooring1,12,0,36.74,-122.01,5.70172294194059
13894,1,1994-05-18 15:00:00,C1,11,0,36.79,-121.84,6.23865698386469
13894,2,1994-05-18 18:12:00,MOORING2,11,0,36.68,-122.38,4.3939236833032
13894,3,1994-05-18 20:44:00,Mooring1,12,0,36.74,-122.01,4.73570266762078
15994,1,1994-06-08 17:23:00,Mooring1,11,0,36.73,-122,2.93222362191872
15994,2,1994-06-08 19:07:00,Midpoint,11,0,36.72,-122.19,3.00060637579522
15994,3,1994-06-08 21:55:00,C1,11,0,36.79,-121.84,5.84788939292292
18094,1,1994-06-29 15:12:00,C1,11,0,36.79,-121.84,5.97184691094989
18094,2,1994-06-29 18:50:00,MOORING2,11,0,36.68,-122.38,4.2084711582803
18094,3,1994-06-29 21:09:00,Mooring1,12,0,36.74,-122.01,4.24931303613603
20194,1,1994-07-20 18:57:00,MOORING2,11,0,36.69,-122.39,3.24029389173701
20194,2,1994-07-20 21:12:00,Mooring1,12,0,36.75,-122.02,3.744037609047
22394,1,1994-08-11 15:02:00,C1,11,0,36.79,-121.84,6.01250683462939
22394,2,1994-08-11 16:23:00,Mooring1,12,0,36.74,-122.01,5.37341475549606
22394,3,1994-08-11 20:01:00,MOORING2,11,0,36.69,-122.38,3.57322676640412
23694,1,1994-08-24 15:02:00,C1,11,0,36.79,-121.84,5.47351508394569
23694,2,1994-08-24 18:42:00,MOORING2,11,0,36.7,-122.39,5.18286167115806
23694,3,1994-08-24 21:01:00,Mooring1,12,0,36.74,-122.02,4.40069132309647
25094,1,1994-09-07 15:46:00,C1,11,0,36.79,-121.84,6.10917961601023
25094,2,1994-09-07 17:39:00,Mooring1,11,0,36.74,-122.02,5.61208648014216
25094,3,1994-09-07 19:42:00,MOORING2,11,0,36.7,-122.38,4.99903878036058
27194,1,1994-09-28 14:43:00,C1,11,0,36.79,-121.84,3.53050413388007
27194,2,1994-09-28 16:00:00,Mooring1,11,0,36.74,-122.02,3.92493919120802
27194,3,1994-09-28 19:43:00,MOORING2,11,0,36.7,-122.38,3.90552920628043
29294,1,1994-10-19 14:50:00,C1,11,0,36.79,-121.84,5.45953267445029
29294,2,1994-10-19 18:33:00,MOORING2,11,0,36.68,-122.39,3.32636384378517
29294,3,1994-10-19 21:28:00,Mooring1,12,0,36.75,-122.02,4.88553902179525
31394,1,1994-11-09 16:35:00,C1,11,0,36.79,-121.84,4.3834548517861
33494,1,1994-11-30 15:49:00,C1,11,0,36.79,-121.85,3.45158496768635
33494,2,1994-11-30 19:19:00,MOORING2,11,0,36.7,-122.38,3.15613234235105
33494,3,1994-11-30 21:38:00,Mooring1,12,0,36.73,-122.02,3.24788274669642
35594,1,1994-12-21 16:07:00,C1,11,0,36.79,-121.84,3.95840190292452
35594,2,1994-12-21 19:02:00,MOORING2,11,0,36.68,-122.39,3.44265881969482
35594,3,1994-12-21 21:15:00,Mooring1,12,0,36.75,-122.03,3.41533217973152
03995,1,1995-02-08 20:20:00,C1,11,0,36.79,-121.84,5.04357702151019
03995,2,1995-02-08 21:45:00,Mooring1,12,0,36.75,-122.01,4.2264235589635
03995,3,1995-02-09 00:03:00,MOORING2,11,0,36.7,-122.38,3.44767897837723
06095,1,1995-03-01 16:16:00,C1,11,0,36.79,-121.84,4.11498789811526
06095,2,1995-03-01 17:42:00,Mooring1,12,0,36.75,-122.03,3.40414466747857
06095,3,1995-03-01 20:27:00,MOORING2,11,0,36.7,-122.37,2.77417895714574
07495,1,1995-03-15 15:52:00,C1,11,0,36.79,-121.85,3.32937690913379
07495,2,1995-03-15 19:09:00,MOORING2,11,0,36.69,-122.39,2.75719204945526
07495,3,1995-03-15 21:28:00,Mooring1,12,0,36.75,-122.02,5.36324672379922
08895,1,1995-03-29 15:58:00,C1,11,0,36.79,-121.85,3.90751572287431
08895,2,1995-03-29 18:28:00,Mooring1,12,0,36.73,-122.01,3.8012108789291
08895,3,1995-03-29 20:43:00,MOORING2,11,0,36.68,-122.37,3.54102784342894
14495,1,1995-05-24 14:58:00,C1,11,0,36.79,-121.84,5.828824736775
14495,2,1995-05-24 16:27:00,Mooring1,12,0,36.74,-122.01,5.72945879511721
14495,3,1995-05-24 19:52:00,MOORING2,11,0,36.69,-122.37,6.48255435760569
16595,2,1995-06-14 17:35:00,Mooring1,12,0,36.74,-122.01,4.18138037641314
16595,3,1995-06-14 21:06:00,MOORING2,11,0,36.68,-122.39,4.98143355683276
17995,1,1995-06-28 14:51:00,C1,11,0,36.79,-121.84,4.97465494183177
17995,2,1995-06-28 18:09:00,MOORING2,11,0,36.7,-122.37,3.18165629201725
19395,1,1995-07-12 14:54:00,C1,12,0,36.79,-121.84,5.42284224703235
19395,2,1995-07-12 18:45:00,MOORING2,12,0,36.7,-122.37,3.93192745107007
19395,3,1995-07-12 21:31:00,Mooring1,12,0,36.73,-122.01,4.59890000945232
20795,1,1995-07-26 15:12:00,C1,12,0,36.79,-121.84,5.19048250889597
20795,2,1995-07-26 16:56:00,Mooring1,11,0,36.74,-122.01,5.89245262530302
20795,3,1995-07-26 20:24:00,MOORING2,11,0,36.69,-122.39,3.62759236134957
22195,1,1995-08-09 14:51:00,C1,12,0,36.79,-121.84,5.24553240755022
22195,2,1995-08-09 18:46:00,MOORING2,11,0,36.67,-122.37,3.86715362293898
22195,3,1995-08-09 21:14:00,Mooring1,12,0,36.75,-122.01,4.36821467469425
23595,1,1995-08-23 14:46:00,C1,11,0,36.81,-121.84,5.74745213552319
23595,2,1995-08-23 17:57:00,MOORING2,12,0,36.68,-122.37,4.28413624523979
23595,3,1995-08-23 21:40:00,Mooring1,12,0,36.75,-122.01,4.39662516815297
25695,1,1995-09-13 15:06:00,C1,12,0,36.79,-121.84,4.22191163694481
25695,2,1995-09-13 16:28:00,Mooring1,11,0,36.73,-122.01,3.75297812853312
25695,3,1995-09-13 20:36:00,MOORING2,11,0,36.69,-122.37,3.59221702793646
27095,1,1995-09-27 14:58:00,C1,12,0,36.79,-121.84,4.49837831309374
27095,2,1995-09-27 18:58:00,MOORING2,12,0,36.7,-122.37,3.39906982000708
27095,3,1995-09-27 21:16:00,Mooring1,11,0,36.74,-122.01,3.71834366450317
28495,1,1995-10-11 14:47:00,C1,12,0,36.79,-121.84,4.29054113644138
28495,2,1995-10-11 17:00:00,Mooring1,12,0,36.75,-122.03,4.48277376878285
28495,3,1995-10-11 19:18:00,MOORING2,12,0,36.69,-122.37,3.39286657666873
29895,1,1995-10-25 15:31:00,C1,12,0,36.79,-121.84,4.79420664726368
29895,2,1995-10-25 19:01:00,MOORING2,12,0,36.68,-122.37,3.67061598770169
29895,3,1995-10-25 21:11:00,Mooring1,12,0,36.73,-122,4.15903141610783
31995,1,1995-11-15 15:56:00,C1,12,0,36.79,-121.84,5.15117238524133
31995,2,1995-11-15 19:40:00,MOORING2,12,0,36.7,-122.38,3.55996012384605
31995,3,1995-11-15 22:15:00,Mooring1,12,0,36.75,-122.02,5.10077821933303
34095,1,1995-12-06 16:09:00,C1,12,0,36.79,-121.84,6.15476343985533
34095,2,1995-12-06 18:52:00,Mooring1,12,0,36.74,-122.04,5.49260052643508
34095,3,1995-12-06 21:51:00,TRANSECT,12,0,36.73,-122.14,4.19861757676489
00396,1,1996-01-03 15:53:00,C1,12,0,36.79,-121.85,3.56494228934147
00396,2,1996-01-03 19:46:00,MOORING2,12,0,36.69,-122.36,3.6479820140394
03196,1,1996-01-31 17:22:00,C1,12,0,36.8,-121.85,3.32068686458286
03196,3,1996-02-01 00:09:00,Mooring1,12,0,36.74,-122,3.19891733262571
04596,1,1996-02-14 15:45:00,C1,12,0,36.79,-121.85,3.48663327378256
04596,2,1996-02-14 17:50:00,Mooring1,12,0,36.74,-122.03,3.57930850366941
04596,3,1996-02-14 20:53:00,MOORING2,12,0,36.7,-122.38,4.20635146662338
07396,1,1996-03-13 17:37:00,C1,12,0,36.79,-121.84,3.56565677224696
07396,2,1996-03-13 19:24:00,Mooring1,12,0,36.74,-122.02,3.09821688275435
09496,1,1996-04-03 17:33:00,C1,12,0,36.79,-121.84,4.38284704804278
09496,2,1996-04-03 20:41:00,MOORING2,12,0,36.68,-122.37,4.32187240845409
09496,3,1996-04-03 22:35:00,Mooring1,11,0,36.74,-122.01,3.03636429803108
11596,1,1996-04-24 14:23:00,C1,12,0,36.79,-121.84,3.01724769788139
11596,2,1996-04-24 18:40:00,MOORING2,12,0,36.74,-122.39,3.76874703106837
11596,3,1996-04-24 21:11:00,Mooring1,12,0,36.73,-122.01,3.33055246773282
13696,1,1996-05-15 15:50:00,C1,12,0,36.79,-121.84,5.42555286656838
13696,2,1996-05-15 19:42:00,MOORING2,12,0,36.7,-122.37,5.16488536326994
13696,3,1996-05-15 21:55:00,Mooring1,12,0,36.75,-122.02,5.65453831444616
15796,1,1996-06-05 20:50:00,C1,12,0,36.79,-121.84,5.22850617461394
15796,2,1996-06-05 22:18:00,Mooring1,12,0,36.75,-122.02,4.28399155570162
15796,3,1996-06-06 00:35:00,MOORING2,12,0,36.7,-122.38,4.1764447671803
17896,1,1996-06-26 14:49:00,C1,12,0,36.79,-121.84,5.29428948049537
17896,2,1996-06-26 16:45:00,Mooring1,12,0,36.73,-122,3.72644832295406
17896,3,1996-06-26 19:16:00,MOORING2,12,0,36.7,-122.39,5.03959514030041
20096,1,1996-07-18 14:52:00,C1,12,0,36.79,-121.84,4.71512331443661
20096,2,1996-07-18 16:36:00,Mooring1,12,0,36.74,-122.01,3.88465302137537
20096,3,1996-07-18 19:47:00,MOORING2,12,0,36.7,-122.4,3.7525023765314
21996,1,1996-08-06 14:53:00,C1,12,0,36.79,-121.84,4.19820565430604
21996,2,1996-08-06 18:57:00,MOORING2,12,0,36.69,-122.38,3.43375482264787
21996,3,1996-08-06 21:09:00,Mooring1,12,0,36.75,-122.02,4.23066183941409
24096,1,1996-08-27 14:48:00,C1,12,0,36.79,-121.84,5.58758582627187
24096,2,1996-08-27 19:51:00,MOORING2,12,0,36.68,-122.39,4.70409978052853
24096,3,1996-08-27 22:23:00,Mooring1,12,0,36.74,-122,5.43231666718653
26196,1,1996-09-17 14:47:00,C1,12,0,36.79,-121.84,5.09246269748333
26196,2,1996-09-17 16:59:00,Mooring1,12,0,36.74,-122.01,6.09174945739601
26196,3,1996-09-17 19:29:00,MOORING2,12,0,36.68,-122.4,5.76388701144794
28396,1,1996-10-09 14:51:00,C1,12,0,36.79,-121.85,4.50111644945571
28396,2,1996-10-09 18:37:00,MOORING2,12,0,36.7,-122.38,4.1565920233849
28396,3,1996-10-09 20:51:00,Mooring1,12,0,36.75,-122.02,5.18267156600176
02297,1,1997-01-22 16:37:00,C1,12,0,36.8,-121.85,3.81431396465619
02997,1,1997-01-29 16:02:00,C1,12,0,36.8,-121.85,2.39675798997372
02997,2,1997-01-29 20:21:00,MOORING2,12,0,36.71,-122.38,2.39115185973765
04997,1,1997-02-18 15:54:00,C1,12,0,36.8,-121.85,4.08936014395618
04997,2,1997-02-18 19:58:00,Mooring1,12,0,36.74,-122,3.91247666251021
S197,2,1997-03-03 13:22:00,C1,12,0,36.79,-121.84,4.36100396117392
S197,5,1997-03-03 21:22:00,H3,11,0,36.72,-122.01,3.48964168152726
S197,11,1997-03-04 22:30:00,MOORING2,11,0,36.7,-122.38,3.58339615314052
08797,1,1997-03-28 16:05:00,C1,12,0,36.8,-121.84,1.25397851513341
08797,2,1997-03-28 18:26:00,Mooring1,12,0,36.75,-122.01,2.92196764245198
10697,1,1997-04-16 15:06:00,C1,12,0,36.8,-121.85,4.31702219167824
10697,2,1997-04-16 18:36:00,MOORING2,12,0,36.67,-122.38,3.35273414904478
10697,3,1997-04-16 21:58:00,Mooring1,12,0,36.73,-122,4.28622494034608
12797,1,1997-05-07 14:46:00,C1,12,0,36.8,-121.85,3.77012864907352
12797,2,1997-05-07 19:02:00,MOORING2,12,0,36.69,-122.4,5.31216425930024
12797,3,1997-05-07 22:18:00,Mooring1,12,0,36.74,-122,3.26652423271998
16997,1,1997-06-18 14:56:00,C1,12,0,36.8,-121.84,5.6571387786748
16997,2,1997-06-18 19:31:00,MOORING2,12,0,36.69,-122.38,3.97129663506548
16997,3,1997-06-18 22:17:00,Mooring1,12,0,36.74,-122.01,3.84265127646948
19097,1,1997-07-09 14:43:00,C1,12,0,36.8,-121.85,4.43737331734738
19097,2,1997-07-09 20:08:00,Mooring1,12,0,36.74,-122.02,4.87661098762871
21197,1,1997-07-30 18:33:00,MOORING2,11,0,36.68,-122.38,4.34658535943893
21197,2,1997-07-30 21:24:00,Mooring1,11,0,36.76,-122.01,4.66452229026211
21197,3,1997-07-30 23:00:00,C1,11,0,36.8,-121.85,4.19825205775729
22397,1,1997-08-11 14:54:00,C1,11,0,36.8,-121.85,5.07557727133447
22397,2,1997-08-11 19:28:00,MOORING2,11,0,36.68,-122.39,3.97756880658882
22397,3,1997-08-11 21:46:00,Mooring1,11,0,36.76,-122.02,4.55443682954287
S497,97,1997-09-14 05:00:00,67-55,24,0,36.62,-122.41,1.80393603305595
S497,99,1997-09-14 10:29:00,Mooring1,24,0,36.78,-122.05,5.14258852040449
S497,105,1997-09-14 16:58:00,C1,24,0,36.79,-121.86,4.00993115304427
27497,1,1997-10-01 14:45:00,C1,12,0,36.8,-121.85,4.35392564955041
27497,2,1997-10-01 18:34:00,MOORING2,12,0,36.71,-122.39,4.24331981546045
27497,3,1997-10-01 21:14:00,Mooring1,12,0,36.76,-122.02,4.57793425239703
29597,1,1997-10-22 14:45:00,C1,12,0,36.8,-121.85,1.8362602885666
29597,2,1997-10-22 18:33:00,MOORING2,12,0,36.7,-122.39,3.19865095403977
29597,3,1997-10-22 21:22:00,Mooring1,12,0,36.76,-122.02,2.49047337677258
31697,1,1997-11-12 15:46:00,C1,12,0,36.8,-121.85,3.66058105473089
31697,2,1997-11-12 19:28:00,MOORING2,12,0,36.7,-122.37,2.60360326800073
31697,3,1997-11-12 22:09:00,Mooring1,12,0,36.76,-122.02,3.70830200919182
33797,1,1997-12-03 16:31:00,C1,12,0,36.8,-121.85,3.1728031529697
33797,2,1997-12-03 18:41:00,Mooring1,12,0,36.76,-122.04,2.95746898192641
35297,1,1997-12-18 15:45:00,C1,11,0,36.8,-121.85,2.92616829258649
35297,2,1997-12-18 17:30:00,Mooring1,11,0,36.75,-122.02,3.01440136648591
00798,1,1998-01-07 15:45:00,C1,11,0,36.79,-121.84,2.91643990097532
00798,2,1998-01-07 18:48:00,MOORING2,11,0,36.71,-122.38,3.10259492044758
00798,3,1998-01-07 21:38:00,Mooring1,11,0,36.74,-122.04,2.84326856166251
S198,1,1998-01-21 10:10:00,C1,12,0,36.79,-121.85,2.1274311473926
S198,2,1998-01-21 21:26:00,H3,12,0,36.73,-122.02,2.3845363474637
S198,4,1998-01-22 02:17:00,MOORING2,12,0,36.68,-122.38,2.7784118598168
05098,1,1998-02-19 16:47:00,Mooring1,12,0,36.74,-122.02,3.67891921521168
05098,2,1998-02-19 23:52:00,C1,11,0,36.79,-121.86,3.66409173637621
06398,1,1998-03-04 15:45:00,C1,11,0,36.79,-121.84,4.34632708394554
06398,2,1998-03-04 18:46:00,MOORING2,11,0,36.69,-122.39,4.21703986845281
06398,3,1998-03-04 21:57:00,Mooring1,11,0,36.73,-122.01,4.45698788821519
S298,26,1998-03-23 01:25:00,MOORING2,12,0,36.68,-122.4,2.65308491002127
S298,29,1998-03-23 07:10:00,Mooring1,11,0,36.74,-122,3.04572205123266
S298,30,1998-03-23 09:35:00,C1,11,0,36.79,-121.84,3.3099824913674
S398,1,1998-04-14 11:46:00,C1,12,0,36.79,-121.84,5.54300534890579
S398,3,1998-04-14 18:14:00,NPS1,2,0,36.67,-122.2,5.28487785452586
S398,4,1998-04-14 20:09:00,67-55,12,0,36.61,-122.41,5.15343516800564
11998,1,1998-04-29 18:26:00,C1,11,0,36.79,-121.85,4.12747236018312
11998,2,1998-04-29 21:32:00,MOORING2,11,0,36.7,-122.35,5.57064067851007
11998,3,1998-04-29 23:41:00,Mooring1,11,0,36.74,-122.01,5.81981187581625
S498,1,1998-05-09 08:29:26,C1,12,0,36.79,-121.84,2.7988420674726
S498,3,1998-05-09 18:57:39,Mooring1,12,0,36.78,-122.05,1.85765550602415
S498,4,1998-05-10 02:35:52,67-55,12,0,36.63,-122.41,2.2521939178903
14098,1,1998-05-20 14:45:00,C1,11,0,36.79,-121.84,4.6011887907421
14098,2,1998-05-20 17:47:00,MOORING2,11,0,36.7,-122.39,3.30457425031405
14098,3,1998-05-20 20:56:00,Mooring1,11,0,36.73,-122.01,2.89224283966374
16198,1,1998-06-10 15:14:00,C1,12,0,36.79,-121.84,5.8631450347235
16198,2,1998-06-10 18:19:00,MOORING2,12,0,36.69,-122.39,3.54792774174307
16198,3,1998-06-10 20:46:00,Mooring1,12,0,36.75,-122.01,5.70393283335177
18198,1,1998-06-30 02:41:03,C1,12,0,36.79,-121.84,4.14206799890987
18198,2,1998-06-30 06:17:00,MOORING2,12,0,36.66,-122.41,5.44262111407631
18198,3,1998-06-30 21:16:00,Mooring1,12,0,36.73,-122.01,4.13182030829266
20398,1,1998-07-22 14:58:43,C1,11,0,36.79,-121.84,5.15944048938708
20398,2,1998-07-22 18:25:22,MOORING2,12,0,36.69,-122.39,3.03697133309054
20398,3,1998-07-22 21:18:07,Mooring1,12,0,36.75,-122.01,5.71239154338304
S598,43,1998-08-02 16:29:24,C1,12,0,36.798,-121.851,5.70910069117314
S698,1,1998-08-21 06:04:27,MOORING2,12,0,36.66,-122.38,5.54246508968127
S698,3,1998-08-22 02:38:43,C1,11,0,36.79,-121.84,5.27602594878055
S698,4,1998-08-22 05:23:38,Mooring1,11,0,36.74,-122.02,4.64958998543941
26698,1,1998-09-23 14:54:54,C1,12,0,36.79,-121.84,4.44531253567282
26698,2,1998-09-23 17:00:01,Mooring1,12,0,36.75,-122.03,4.06496542417331
26698,3,1998-09-23 19:24:44,MOORING2,12,0,36.69,-122.38,4.82153861389835
29498,1,1998-10-21 14:52:48,C1,12,0,36.79,-121.84,4.68071462236147
29498,2,1998-10-21 16:55:08,Mooring1,12,0,36.75,-122.03,4.02901837095384
29498,3,1998-10-21 19:51:56,MOORING2,12,0,36.69,-122.36,4.73855736571443
32898,1,1998-11-24 15:57:20,C1,12,0,36.79,-121.84,5.03264556119285
35098,1,1998-12-16 17:18:20,C1,12,0,36.79,-121.84,4.02175860045349
35098,2,1998-12-16 18:40:39,Mooring1,12,0,36.75,-122.02,2.65490178352844
35098,3,1998-12-16 21:26:23,MOORING2,12,0,36.68,-122.4,2.78953519126307
S199,114,1999-01-14 16:29:07,C1,12,0,36.8,-121.872,3.11732001767457
S199,121,1999-01-14 23:29:04,67-52.5,12,0,36.707,-122.235,3.28846192302808
S199,122,1999-01-15 02:13:05,67-55,12,0,36.62,-122.415,2.96672206730614
06499,3,1999-03-05 21:41:23,Mooring1,12,0,36.737,-122.016,3.28520252126699
07699,1,1999-03-17 17:15:00,C1,12,0,36.82,-121.84,4.85373343769538
07699,2,1999-03-17 20:35:00,MOORING2,12,0,36.673,-122.39,3.2015912637806
07699,3,1999-03-17 23:48:19,Mooring1,12,0,36.746,-122.019,4.30112511353394
09699,1,1999-04-06 14:51:46,C1,12,0,36.796,-121.85,4.67752111687704
09699,2,1999-04-06 18:23:32,MOORING2,12,0,36.671,-122.408,3.35439322407546
09699,3,1999-04-06 21:04:49,Mooring1,12,0,36.735,-122.016,2.71411696104251
S299,1,1999-04-20 18:10:40,C1,12,0,36.797,-121.844,6.232297119115
S299,2,1999-04-20 19:54:07,Mooring1,12,0,36.731,-122.02,4.89492198757206
S299,5,1999-04-21 03:45:40,67-55,12,0,36.619,-122.412,3.91445177358148
11799,1,1999-04-27 15:15:38,C1,11,0,36.805,-121.857,4.99501338500626
11799,2,1999-04-27 18:46:01,MOORING2,11,0,36.677,-122.407,4.14809254306689
13199,1,1999-05-11 14:49:48,C1,11,0,36.797,-121.847,4.57831513551332
13199,2,1999-05-11 19:12:22,MOORING2,11,0,36.683,-122.394,4.73514978470379
13199,3,1999-05-11 22:10:50,Mooring1,11,0,36.746,-122.016,3.52003384745132
S399,26,1999-05-27 07:03:24,MOORING2,11,0,36.706,-122.437,6.0974106215428
S399,31,1999-05-27 15:58:28,Mooring1,11,0,36.723,-122.023,4.34526730083966
S399,32,1999-05-27 19:30:30,C1,11,0,36.796,-121.854,4.84739443348067
19499,1,1999-07-13 16:37:51,C1,12,0,36.795,-121.846,5.4609059101227
19499,2,1999-07-13 20:19:44,MOORING2,12,0,36.675,-122.41,4.09521295172943
19499,3,1999-07-13 23:03:43,Mooring1,12,0,36.751,-122.011,4.7623726500953
S499,3,1999-07-23 16:32:00,c1,11,0,36.795,-121.856,3.82141298654153
S499,4,1999-07-23 17:59:07,mooring1,10,0,36.736,-122.022,3.37759461497393
S499,64,1999-07-30 04:12:38,mooring2,3,0,36.691,-122.356,4.15700652685337
