cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,pennate,centric
00290,1,1990-01-02 15:54:00,C1,11,0,36.79,-121.85,0.956143937269733,-0.617442483849632
00290,2,1990-01-02 17:30:00,H1,6,0,36.62,-121.89,1.30399016069822,-0.498136472650003
00290,4,1990-01-02 18:58:00,M6,1,0,36.64,-122.01,1.02908463135156,-1.02881574021602
01590,1,1990-01-15 15:54:00,C1,11,0,36.79,-121.84,1.41414101886655,0.153814909176888
01590,2,1990-01-15 17:10:00,H1,6,0,36.62,-121.89,0.89359021374537,-0.591298423916038
01590,3,1990-01-15 17:37:00,MOORING1,2,0,36.65,-121.92,0.529625984254672,0.356104681369937
01590,4,1990-01-15 18:19:00,M6,2,0,36.64,-122.01,1.50473784529879,-1.29939399029122
PP10,24,1990-01-22 05:39:00,67-55,11,0,36.6,-122.46,0.381565097992114,-2.15891774318163
PP10,33,1990-01-23 00:30:00,67-50,11,0,36.76,-122.03,-1.68781575676204,NA
PP10,30,1990-01-23 01:52:00,C1,11,0,36.78,-121.91,0.670383543798852,-2.30999245992247
PP10,27,1990-01-23 14:02:00,27,11,0,36.71,-122.21,-1.36254658499085,NA
03090,1,1990-01-30 16:16:00,M2,1,0,36.74,-121.92,1.27865235595413,-0.567561773830661
03090,2,1990-01-30 16:55:00,M3,2,0,36.78,-121.92,1.56051149898316,1.21029616964485
03090,4,1990-01-30 18:31:00,M5,1,0,36.88,-121.92,1.40809156654938,-0.0280014056134916
03890,1,1990-02-07 15:44:00,C1,11,0,36.79,-121.84,3.38283308547168,2.91285026805323
03890,2,1990-02-07 17:00:00,H1,6,0,36.62,-121.89,2.16241790351737,2.92412831757953
03890,3,1990-02-07 17:27:00,MOORING1,2,0,36.65,-121.93,0.892687555632442,1.26311152273449
03890,6,1990-02-07 20:40:00,H3,11,0,36.77,-122.01,2.20976637691479,3.36055134388283
05290,1,1990-02-21 22:23:00,C7,11,0,36.64,-122.14,-0.434134680831493,0.185255581663637
05390,1,1990-02-22 16:17:00,C1,11,0,36.79,-121.84,0.557796992071395,0.190658375414965
05390,3,1990-02-22 18:49:00,MOORING1,1,0,36.65,-121.93,-0.434134680831493,0.185255581663637
05390,6,1990-02-22 20:39:00,H3,11,0,36.78,-122.01,0.902340680793813,-0.242820886459779
06790,1,1990-03-08 16:23:00,C1,11,0,36.79,-121.84,3.88128052071083,3.14109454823089
06790,2,1990-03-08 17:42:00,H1,6,0,36.62,-121.89,4.68438016858078,-0.0510985765042029
08090,1,1990-03-21 15:54:00,C1,10,0,36.79,-121.84,2.8997210830991,4.91066491440878
08090,2,1990-03-21 17:16:00,H1,6,0,36.62,-121.89,2.27809637711533,5.35030432979171
PP11,23,1990-03-25 05:45:00,67-60,11,0,36.45,-122.78,3.08284654941602,3.24752722525391
PP11,24,1990-03-25 10:33:00,67-55,11,0,36.6,-122.48,0.815495778159248,-0.35279249042451
PP11,27,1990-03-25 17:08:00,27,11,0,36.71,-122.23,-0.736892192937544,0.976348228199443
PP11,33,1990-03-25 20:05:00,67-50,11,0,36.76,-122.03,3.44120845547507,5.64133964047635
PP11,29,1990-03-25 21:15:00,67-50,11,0,36.7,-122.03,2.67451858099341,5.14597552145906
09490,1,1990-04-04 14:44:00,C1,11,0,36.79,-121.84,3.82582321174295,5.36849802367158
09490,2,1990-04-04 16:03:00,H1,6,0,36.62,-121.89,3.58881765321716,5.62410752740607
10890,1,1990-04-18 14:51:00,C1,11,0,36.79,-121.84,-0.382642046918487,1.44532312199207
10890,2,1990-04-18 16:12:00,H1,6,0,36.62,-121.89,1.58805389540003,0.368211046494046
10890,5,1990-04-18 18:22:00,C7,11,0,36.63,-122.13,0.347834582841152,0.81935551240781
10890,6,1990-04-18 20:05:00,H3,11,0,36.77,-122.01,0.701279027289488,0.912422459747377
12290,1,1990-05-02 14:44:00,C1,11,0,36.79,-121.84,4.75019394763633,4.94726909884941
12290,2,1990-05-02 16:07:00,H1,6,0,36.62,-121.89,3.96954705130544,4.53308751383673
12290,5,1990-05-02 18:08:00,C7,11,0,36.63,-122.14,1.70137677938047,3.49246932785644
12290,6,1990-05-02 19:40:00,H3,11,0,36.77,-122.01,0.425572264194144,4.96595699162477
13690,1,1990-05-16 13:52:00,C1,12,0,36.79,-121.84,-0.1614077823446,3.35662809703436
13690,2,1990-05-16 15:03:00,H1,6,0,36.65,-121.88,2.16589190716527,3.82269098874502
13690,4,1990-05-16 16:56:00,C7,11,0,36.63,-122.13,1.35114427172458,2.65161895810357
13690,6,1990-05-16 19:40:00,H3,11,0,36.77,-122.01,2.10715531766402,2.26693314820481
PP12,1,1990-05-17 00:00:00,1,11,0,36.33,-122.03,2.72444723201091,2.76497915528497
PP12,23,1990-05-22 19:49:00,67-60,11,0,36.45,-122.78,3.01728782436595,3.04297705375631
